id,asins,brand,categories,dateAdded,dateUpdated,ean,features.key,features.value,manufacturer,manufacturerNumber,name,sizes,upc,weight
AVpgB3skLJeJML43HwVZ,B00436SFOK,Coffee-Mate,"Fresh Food,Food,grocery",2017-01-16T19:32:18Z,2017-01-16T19:32:18Z,50000552146,Ingredients,"Water,Sugar,Coconut Oil,Sodium Caseinate (a Milk Derivative),**,Artificial and Natural Flavors,Dipotassium Phosphate,Mono- and Diglycerides,**Not a Source of Lactose.",Coffee,11002025,Nestl‹¨«‹¨« Coffee-mate Cinnamon Vanilla Creme Coffee Creamer 180-0.375 Fl. Oz. Tubs,,50000552146,
AVpe5bW8LJeJML43xx3m,B00AJRKRJS,Simply Organic,"Grocery & Gourmet Food,Food",2017-01-09T20:06:13Z,2017-09-04T05:10:58Z,,Ingredients,"Sea Salt, Organic Garlic, Organic Onion, Organic Black Pepper, Organic Oregano, Organic Bay, Organic Turmeric.,Sea Salt,Organic Garlic,Organic Onion,Organic Black Pepper,Organic Oregano,Organic Bay,Organic Turmeric.",Frontier Natural Products CO-OP,1214964,Simply Organic Seasoning,,89836180346,10.4 ounces
AVpg__GyLJeJML43Vc1D,"B00MFC8ATY,B005LZ1TMW",Kellogg's,"Fresh Food,Food,Grocery",2015-10-30T21:52:07Z,2017-01-16T15:29:23Z,38000551437,Ingredients,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid),Corn Syrup,Sugar High Fructose Corn Syrup,Vegetable Oil (Soybean And/Or Palm Oil With Tbhq For Freshness, Partially Hydrogenated Cottonseed And/Or Soybean Oil, Hydrogenated Palm Kernel Oil),Contains Two Percent Or Less of Salt,Fructose,Wheat Starch,Rice Flour,Calcium Carbonate,Cornstarch,Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate),Soy Lecithin,Caramel Color,Dextrose,Maltodextrin,Gelatin,Sodium Stearoyl Lactylate,Mono- And Diglycerides,Color Added,Natural And Artificial Flavor (Contains Milk),Modified Food Starch,Confectioner's Glaze,Carrageenan,Cellulose Gum,Carnauba Wax,Vitamin A Palmitate,Niacinamide,Reduced Iron,Red 40,Yellow 6,Pyridoxine Hydrochloride (Vitamin B6),Yellow 5,Riboflavin (Vitamin B2),Gum Arabic,Blue 2 Lake,Thiamin Hydrochloride (Vitamin B1),Blue 1,Annatto Color,Xanthan Gum,Folic Acid,BHT (Preservative),Blue 2. Contains Wheat,Soy And Milk Ingredients.",Kellogg's,3800057073,Kellogg's Frosted Confetti Cake Pop Tarts 14.1,,38000551437,15.2 ounces
AVpiIdrtLJeJML43inP-,,KA-ME,"Food,Grocery",2015-11-09T12:57:15Z,2017-01-07T20:27:08Z,70844705584,Ingredients,"Water,Wheat Flour,Buckwheat Flour,Wheat Gluten,Salt,Lactic Acid.",Panos Brands LLC,KA-ME,Ka Me Noodle Strfry Soba-14. 2 Oz -pack of 6,,70844705584,3.05 lbs
AVpirxc31cnluZ0-PrgH,,Spice Islands,"Food,Grocery",2016-11-05T22:53:32Z,2016-11-05T22:53:32Z,40100002306,Ingredients,"Aromatic And Bitingly Pungent,Coriander Is An Ancient Seasoning Whose Culinary Roots Travel Deep Into Remote Times. We Grind Our Own Coriander Seed To Ensure Delightful Bouquet And Distinctive Flavor. Ground Coriander Is Traditional In South American,Indian,Mediterranean And African Cuisines,Particularly Curries,Meat,And Seafood Dishes. Add To Stews And Marinades For Authentic Mediterranean Flavor.",Spice Island,4010000230,"Spice Islands: Ground Coriander Spice, 1.7 Oz",,40100002306,
AVpfgjy2LJeJML43-dgi,B004Z0EVP6,Polaner,"Food,Grocery",2015-05-20T09:26:55Z,2016-11-13T01:59:48Z,72400006692,Ingredients,"Water*,Blackberries+,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Red #40 And Blue #1*. *Not In Regular Preserves. +Adds A Trivial Amount of Sugar.","B&G Foods, Inc.",669,"Polaner Blackberry Seedless Sugar Free Preserves With Fiber, 13.5 Oz",,72400006692,
AVpe9TyqLJeJML43zM50,,Jelly Belly,"Food,Grocery",2016-09-25T04:46:16Z,2016-10-05T22:30:35Z,71567980098,Ingredients,"Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following: Peach Puree Concentrate,Blueberry Puree,Strawberry Puree,Lemon Puree,Pear Juice Concentrate,Tangerine Juice Concentrate,Watermelon Juice Concentrate,Apple Juice Concentrate,Cherry Juice Concentrate,Pomegranate Juice Concentrate,Coconut,Citric Acid,Phosphoric Acid,Ascorbic Acid,Sodium Lactate,Sodium Citrate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Yellow 5 & 6,Red 40,Blue 1,Tapioca Dextrin,Beeswax,Carnauba Wax,Confectioner's Glaze,Salt,Caffeine.",JELLY BELLY CANDY COMPANY,,Jelly Belly Jelly Bean,,71567980098,
AVpgZm8vilAPnD_xr7GT,,Manischewitz,"Food,Grocery",2017-01-07T20:11:08Z,2017-01-07T20:11:08Z,72700100878,Ingredients,"Water,Whitefish,Pike,Matzo Meal (Passover Wheat Flour and Water),Egg Whites,Onion,Salt,Carrageenan,Locust Bean Gum,Potassium Chloride,Dipotassium Phosphate,Pepper,Natural Flavorings.",MANISCHEWITZ,118968,"Manischewitz Whitefish & Pike, Reduced Sodium, In Jelled Broth",,72700100878,
AVpfu86SLJeJML43CwNJ,,Mentos,"Food,Grocery",2017-01-12T05:54:28Z,2017-01-12T05:54:28Z,73390026349,Ingredients,"Sugar,Wheat Syrup,Strawberry Juice from Concentrate (2),Hydrogenated Coconut Oil,Citric Acid,Corn Starch,Artificial Flavor,Maltodextrin,Sucrose Fatty Acid Esters,Gellan Gum,Carnauba Wax,Sodium Carboxymethylcellulose,Gum Arabic,Color (Beetroot Red),Beeswax. Mentos Chewy Mint Strawberry.,Mentos The Chewy Mint Strawberry.,Artificially flavored.,Perfetti.,For nutritional information,write to: Nutritional Data,P.O. Box 18190,Erlanger,KY 41018.,Mentos is a registered trademark of Perfetti Van Melle Benelux B.V. www.mentos.com.,For the strawberry lover,mentos strawberry chewy candies are a perfect fit.,With a hard outer shell to keep them from melting and a creamy chewy center,mentos strawberry flavored chewy candies have no competition.,If are looking for fresh breath and a delicious fruity flavor then look no further than mentos strawberry flavored chewy mints.",Perfetti Van Melle USA Inc,MCLANE500386979,"Mentos Chewy Mint Strawberry, 1.32 Oz",1,73390026349,
AVpf5C_jLJeJML43Fjfg,,Streit's,"Food,Grocery",2015-11-09T12:57:30Z,2017-01-07T20:13:36Z,70227500201,Ingredients,"Durum Flour (Wheat),Egg Yolks or Eggs,Niacin,Iron (Ferrous Sulfate),Thiamine Mononitrate (Vitamin B1),Riboflavin (Vitamin B2),and Folic Acid.",Aron Streit Inc.,35440,Egg Noodles Wide,,70227500201,2.6 lbs
AVpgdu8U1cnluZ0-10YQ,B0047TJUOM,Spice Islands,"Food,Grocery",2015-10-29T11:15:41Z,2017-01-07T20:17:57Z,,Ingredients,"Oregano,Marjoram,Savory,Thyme,Basil,Rosemary,Sage. Aromatic blend of basil,oregano,rosemary,thyme and other herbs,Perfect compliment to Italian dishes and tomato-based sauces",Spice Island,404851,Italian Herb Seasoning,,40100004850,
AVpiSoYLilAPnD_xCu6h,,Orale!,"Food,Grocery",2016-11-03T10:13:31Z,2016-11-03T10:13:31Z,96786202646,Ingredients,Natural Sesame Seed.,Lisy Corp,108A,Natural Sesame Seeds,,96786202646,
AVphAm3Q1cnluZ0-9JWd,,Fiordifrutta,"Food,Grocery",2017-01-09T20:06:20Z,2017-01-09T20:06:20Z,6.53E+11,Ingredients,"Strawberries*,Apple Juice*,Wild Strawberries*,Pectin. *From organic farming.",Rigoni Di Asiago,699215,"Fiordifrutta Organic Fruit Spread Strawberries & Wild Strawberries, 8.82 Oz",,6.53E+11,
